unit	decision	why	evidence	result
A1	Reject the premise of AMA-2520 as written	The ticket (which I wrote) claimed ancestor identifiers always overwrite descendants. A live dump of the workout detail screen shows af_workout_detail_screen coexisting with af_workout_detail_hero, af_workout_detail_title and af_workout_detail_blocks.	hierarchy dump, detail screen, build4	VERIFIED false. Shadowing is conditional, not universal.
A2	Identify the real mechanism as a missing children:.contain	af_workout_detail_hero survives an ancestor identifier and declares .accessibilityElement(children: .contain). af_tabbar and af_detail_actions shadow and do not.	UnifiedWorkoutDetailView.swift:494 vs DailyDriverTheme+TabBar.swift:67	VERIFIED by experiment A3.
A3	Test children:.contain on af_detail_actions before designing the sweep	Riskiest unknown first. The whole sweep's fix shape depends on this being the mechanism.	Before: af_detail_pin/collect/towatch/share absent from dump. After: all four present alongside af_detail_actions.	VERIFIED. This is the canonical fix.
A4	Replace the af_tabbar marker overlay shipped in #638 with children:.contain	The marker (1x1 Text) works but is a hack. The sweep should establish one pattern, not propagate mine.	see D2	VERIFIED
B1	Delete UITestAccessibility.swift entirely	Referenced only by itself. Not a member of the app target. An orphan file whose name promises a contract it does not provide.	git grep -ln UITestAccessibility returns only the file itself	VERIFIED dead, removed.
B2	Delete AFTabBar and AFTabBarButton from ContentView.swift	Referenced only from two #Preview blocks. Not what renders. Cost two full rebuilds during AMA-2514 before I found DDFloatingTabBar.	git grep AFTabBar shows only self-references plus previews	VERIFIED dead, removed.
C1	Build a static detector rather than review 959 call sites by hand	959 accessibilityIdentifier call sites across 181 files. Hand review is not checkable by a reviewer.	scripts/lint-identifier-shadowing.py	Catches both proven cases (af_tabbar, af_detail_actions).
C2	Do NOT gate CI on the detector	Source position cannot prove an ancestor relationship; the heuristic yields false positives. A gate that cries wolf gets ignored, which is the failure mode this epic is about.	182 candidates across 680 files, several verified false	DECIDED: triage tool, not a gate.
C3	Do NOT blanket-apply children:.contain to all candidates	The modifier changes VoiceOver grouping. Applying it to 182 sites unverified would trade a test bug for an accessibility regression.	n/a	DECIDED: fix only runtime-confirmed cases.
C4	Rank candidates by whether automation depends on the hidden identifier	Gives a falsifiable impact filter instead of a raw count. 205 identifiers are referenced by flows and XCUITests.	27 of 182 candidates hide an automation-referenced identifier	Narrows the sweep to a tractable, evidence-backed set.
D1	Add children:.contain to af_workout_detail_screen	The detector's first finding for that file. The Start button rendered on screen but reported resource-id af_workout_detail_screen, so the screen identifier was swallowing the whole subtree.	Before: af_workout_detail_start absent, flow failed there. After: tap COMPLETED and af_start_sheet visible.	VERIFIED. Unblocks the AMA-2514 flows past their last identifier failure.
D2	Confirm the af_tabbar swap from marker to children:.contain	#638 shipped a 1x1 Text marker. The sweep should leave one pattern behind, not two.	ama-2292: af_tabbar, today_tab, library_tab, profile_tab all assert visible; both id taps COMPLETED.	VERIFIED. Marker hack removed.
D3	Do NOT rewrite the "Tap to pair CIQ" assertion to match current copy	The Garmin row now reads "Downloads via the AmakaFlow widget" after the AMA-2371 redesign. Editing the assertion to match whatever the app says turns a regression check into a tautology, and the correct copy is a product decision.	live hierarchy of the start sheet	DECIDED: report as flow copy rot, do not silently fix.
E1	Ship the detector as triage, not a CI gate	Three true positives found (af_tabbar, af_detail_actions, af_workout_detail_screen) but source position cannot prove an ancestor relationship, so false positives are inherent.	182 candidates, 27 touching automation-referenced identifiers	DECIDED. --impact ranks by whether a flow or XCUITest names the hidden identifier.
